Feature,Importance
num__Overall Qual,0.6013137454179742
num__Gr Liv Area,0.10356263854638767
num__1st Flr SF,0.03383532081347818
num__Total Bsmt SF,0.026824911046114314
num__2nd Flr SF,0.022804129964836023
num__BsmtFin SF 1,0.0220742419519451
num__Full Bath,0.016803256098756963
num__Lot Area,0.01524317662579471
num__Garage Cars,0.014678816015240743
num__Garage Area,0.013953824536043428
num__Year Built,0.009602878589956235
num__PID,0.008565489978688135
num__Year Remod/Add,0.00751008529311673
cat__Kitchen Qual_Ex,0.005810102341116011
num__Mas Vnr Area,0.004986877557783527
num__Lot Frontage,0.004671926269650484
num__Bsmt Unf SF,0.004530099420728373
num__Screen Porch,0.0036551775492013566
num__Wood Deck SF,0.0034110586200413974
num__Garage Yr Blt,0.0031418663463889302
num__Fireplaces,0.0031244759419584577
num__Order,0.003118539498783422
num__Open Porch SF,0.0028198924216726933
cat__MS Zoning_RM,0.0025711110324461977
num__Overall Cond,0.0025293548406675128
num__Mo Sold,0.0023405222479690284
num__Bedroom AbvGr,0.0020798071065603095
num__TotRms AbvGrd,0.001954740176100066
cat__Central Air_N,0.0018497951698032964
cat__Garage Finish_Unf,0.0018239010693105815
num__Bsmt Full Bath,0.0017484118622837148
cat__Kitchen Qual_TA,0.0017376594092379954
num__MS SubClass,0.001577188650439197
cat__Kitchen Qual_Gd,0.0012119915130093981
cat__Bsmt Qual_Ex,0.0011802085628495685
cat__Central Air_Y,0.0011560086194689972
cat__Bsmt Exposure_Gd,0.0009567270614605894
cat__MS Zoning_RL,0.0009266216621887824
cat__Exter Qual_Gd,0.0009101427519139908
num__Pool Area,0.0008959312866221951
cat__Exter Qual_Ex,0.0008351766532801333
cat__Sale Condition_Normal,0.0008310052200511788
num__Yr Sold,0.0007543821019438269
cat__Sale Condition_Abnorml,0.0007433465091335456
cat__Neighborhood_Edwards,0.0007422157414596806
cat__Exter Qual_TA,0.0007160129542868237
cat__Sale Type_WD ,0.0006950243123340681
cat__Bsmt Qual_Gd,0.0006912730317426072
num__Enclosed Porch,0.000686604458167486
cat__Bsmt Exposure_No,0.0006540090899984999
num__Half Bath,0.0006481693116088544
cat__Bsmt Qual_TA,0.0006191531713263178
